date,clones,uniques
2026-04-30,94,29
2026-05-01,24,6
2026-05-02,33,23
2026-05-03,10,6
2026-05-04,419,98
2026-05-05,181,51
2026-05-06,174,48
2026-05-07,20,16
2026-05-08,733,179
2026-05-09,141,45
2026-05-10,110,31
2026-05-11,676,165
2026-05-12,581,125
2026-05-13,696,136
2026-05-14,673,131
2026-05-15,662,162
2026-05-16,694,164
2026-05-17,664,163
2026-05-18,444,111
2026-05-19,380,108
2026-05-20,374,96
2026-05-21,521,114
2026-05-22,442,103
2026-05-23,486,119
2026-05-24,634,154
2026-05-25,657,145
2026-05-26,462,120
