path,title,current_category,new_category,new_tags
_posts/2015-11-16-grossartige-skills-von-vom.md,Grossartige Skills von vom !,"coordination,warmup",coordination,warmup
_posts/2017-06-09-goalie-warmup.md,Goalie warmup,strength,technique,"strength,warmup"
_posts/2017-11-24-best-goalie-workout.md,Best Goalie Workout 😂😁🔥👍 ( ),warmup,reaction,"fitlight,warmup"
_posts/2018-03-14-pulling-technique-with-a-medicine-ball.md,Pulling technique with a medicine ball.,strength,technique,"medicine-ball,strength"
_posts/2018-03-21-we-have-progress.md,We have progress!,coordination,coordination,
_posts/2018-03-26-more-moving-and-positioning.md,More moving and positioning.,training,technique,positioning
_posts/2018-03-27-look-without-hands.md,"\""Look, without hands!!\"" 😂",warmup,warmup,
_posts/2018-03-28-you-have-to-see-the-ball-even-if-there-is-a-player-standing-right-in.md,You have to see the ball even if there is a player standing right in,training,technique,vision
_posts/2018-03-31-using-that-double-step-i-posted-a-while-ago.md,Using that double-step I posted a while ago.,training,technique,game-situation
_posts/2018-04-26-training-w-this-drill-was-surprisingly-hard.md,Training w/ 💪This drill was surprisingly hard 😅.,warmup,warmup,
_posts/2018-04-27-here-s-another-fun-juggling-drill-we-tried-the-other-day-w-even.md,Here's another fun juggling drill we tried the other day w/ Even,warmup,warmup,"hand-eye,juggling"
_posts/2018-05-04-here-s-a-fun-strength-training-excercise-to-try-with-a-friend.md,Here's a fun strength training excercise to try with a friend!,strength,strength,
_posts/2018-05-09-albin-engholm-goalkeeper-in-demonstrating-the-slideboard.md,"Albin Engholm ( ), goalkeeper in , demonstrating the Slideboard",strength,strength,slideboard
_posts/2018-05-18-once-again-some-core-training.md,Once again some core training 💪.,strength,strength,medicine-ball
_posts/2018-07-12-this-is-something-we-did-in.md,This is something we did in .,coordination,coordination,
_posts/2018-07-13-faster-faster-faster.md,"Faster, faster, faster!",strength,strength,
_posts/2018-09-05-reaction-and-goalie-training.md,Reaction and goalie training,training,reaction,
_posts/2019-01-10-warm-up-mit-den-beiden-goalies-von.md,Warm-up mit den beiden Goalies von !,warmup,coordination,warmup
_posts/2019-01-11-movement-drill-mit-von.md,Movement-Drill mit von,training,movement,
_posts/2019-01-14-verschiebe-und-auswurfubung-mit.md,Verschiebe- und Auswurfübung mit,training,movement,
_posts/2019-01-16-marek-sivel-vas-zdravi-z-treninku-brankaru.md,Marek Šivel vás zdraví z tréninku brankářů :),strength,strength,
_posts/2019-01-21-schussubung-mit-verschiebung-zum-kurzen-pfosten-mit-den-2-torhutern.md,Schussübung mit Verschiebung zum kurzen Pfosten mit den 2 Torhütern,training,movement,
_posts/2019-03-01-this-is-something-even-i-would-like-to-try-even-though-im-not-a.md,"This is something even I would like to try, even though I’m not a",coordination,coordination,hand-eye
_posts/2019-06-30-training-with-part-2.md,Training with part 2👌👍,training,technique,
_posts/2019-07-22-is-here.md,Is here!,stretching,mobility,"positioning,stretching"
_posts/2019-07-30-balanstraning.md,Balansträning!,strength,strength,medicine-ball
_posts/2019-08-28-for-the-goalies-out-there.md,For the goalies out there!,training,technique,
_posts/2019-09-15-flexiband.md,[FLEXIBAND],strength,strength,"band,movement"
_posts/2019-11-13-the-zigzag-circle-a-simple-semi-circle-warmup-exercise.md,The ZigZag Circle - a simple semi-circle warmup exercise.,training,warmup,
_posts/2020-09-30-and-a-new-invention-for-goalie-training.md,And a new invention for goalie training 🤩👏🏻,training,technique,positioning
_posts/2020-10-26-back-to-basics-vol-3.md,Back to basics vol.3,training,technique,
_posts/2021-03-22-ah-yeah-back-then-when-we-could-go-to-the-gym-and-record-there.md,Ah yeah back then when we could go to the gym and record there.,strength,strength,stretching
_posts/2021-05-31-with-this-drill-you-do-not-only-work-out-you-also-find-out-pretty.md,"With this drill you do not only work out, you also find out pretty",training,coordination,"hand-eye,mental,rebound-control,strength"
_posts/2021-07-20-got-to-keep-the-goalies-busy-and-exhausted.md,Got to keep the goalies busy and exhausted?,warmup,warmup,
_posts/2021-09-20-part-3.md,🦵 part 3 🦵,strength,strength,movement
_posts/2021-12-10-part-5.md,🦵 part 5 🦵,strength,strength,movement
_posts/2022-09-16-salibandy-maalivahdin-lammittely-ennen-lajisuoritusta.md,🎥 (salibandy)maalivahdin lämmittely ennen lajisuoritusta,stretching,stretching,
_posts/2022-09-21-goalie-strength-by-vaud-unihockey-crp-spe.md,Goalie strength by Vaud Unihockey CRP | SPE,strength,strength,
_posts/2022-09-23-gerer-les-desequilibres.md,Gérer les déséquilibres 🧠👌💪,coordination,coordination,
_posts/2022-10-11-tiny-goalie.md,Тренировка в «Tiny Goalie»💥,training,technique,
_posts/2022-10-17-warm-up-by.md,Warm up by,coordination,coordination,warmup
_posts/2022-10-24-tiny-goalie.md,Очередная тренировка в школе «Tiny Goalie»🤹👏,training,technique,
